annee;idcom;libcom;varlib;var;valeur;secret_statistique;destinataire
2024;33063;BORDEAUX;FB - COMMUNE / BASE NETTE;E11;499467793.0;;Commune
2024;33063;BORDEAUX;FB - COMMUNE / MONTANT RÉEL;E13;242316385.0;;Commune
2024;33063;BORDEAUX;FB - COMMUNE / TAUX VOTÉ;E12VOTE;48.48;;Commune
2024;69123;LYON;FB - COMMUNE / BASE NETTE;E11;1094680369.0;;Commune
2024;69123;LYON;FB - COMMUNE / MONTANT RÉEL;E13;349238112.0;;Commune
2024;69123;LYON;FB - COMMUNE / TAUX VOTÉ;E12VOTE;31.89;;Commune
2024;69123;LYON;FB - GFP / TAUX VOTÉ;E32VOTE;0.55;;GFP
2024;69123;LYON;FB - GFP / MONTANT RÉEL;E33;6004218.0;;GFP
2024;10017;AULNAY;FB - COMMUNE / BASE NETTE;E11;139410.0;;Commune
2024;10017;AULNAY;FB - COMMUNE / MONTANT RÉEL;E13;38295.0;;Commune
2024;10017;AULNAY;FB - COMMUNE / TAUX VOTÉ;E12VOTE;27.37;;Commune
2024;10017;AULNAY;FB - GFP / TAUX VOTÉ;E32VOTE;9.34;;GFP
2024;10017;AULNAY;FB - GFP / MONTANT RÉEL;E33;12843.0;;GFP
